"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","SOURCE","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","MA1","TMP","WND"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-13T06:00:00","4","FM-12","99999","V020","99999,9,10090,1","+0362,1","999,9,V,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-13T09:00:00","4","FM-12","99999","V020","99999,9,10061,1","+0356,1","290,1,N,0021,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-13T12:00:00","4","FM-12","99999","V020","99999,9,10052,1","+0344,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-14T03:00:00","4","FM-12","99999","V020","99999,9,10092,1","+0308,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-14T06:00:00","4","FM-12","99999","V020","99999,9,10091,1","+0360,1","250,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-14T09:00:00","4","FM-12","99999","V020","99999,9,10065,1","+0366,1","270,1,N,0015,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-14T12:00:00","4","FM-12","99999","V020","99999,9,10069,1","+0336,1","160,1,N,0021,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-15T03:00:00","4","FM-12","99999","V020","99999,9,10099,1","+0296,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-15T09:00:00","4","FM-12","99999","V020","99999,9,10064,1","+0364,1","320,1,N,0015,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-15T12:00:00","4","FM-12","99999","V020","99999,9,10054,1","+0348,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-16T03:00:00","4","FM-12","99999","V020","99999,9,10096,1","+0296,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-16T06:00:00","4","FM-12","99999","V020","99999,9,10094,1","+0326,1","180,1,N,0021,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-16T09:00:00","4","FM-12","99999","V020","99999,9,10063,1","+0356,1","230,1,N,0015,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-16T12:00:00","4","FM-12","99999","V020","99999,9,10079,1","+0318,1","340,1,N,0041,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-17T03:00:00","4","FM-12","99999","V020","99999,9,10085,1","+0296,1","999,9,V,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-17T06:00:00","4","FM-12","99999","V020","99999,9,10078,1","+0350,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-17T09:00:00","4","FM-12","99999","V020","99999,9,10051,1","+0364,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-17T12:00:00","4","FM-12","99999","V020","99999,9,10046,1","+0348,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-18T03:00:00","4","FM-12","99999","V020","99999,9,10069,1","+0298,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-18T06:00:00","4","FM-12","99999","V020","99999,9,10061,1","+0358,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-18T09:00:00","4","FM-12","99999","V020","99999,9,10038,1","+0376,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-18T12:00:00","4","FM-12","99999","V020","99999,9,10028,1","+0348,1","320,1,N,0015,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-19T03:00:00","4","FM-12","99999","V020","99999,9,10058,1","+0294,1","999,9,C,0000,1"
